id,"error","correct"
1074,"dissapear","disappear"
1075,"dissapearance","disappearance"
1076,"dissapeared","disappeared"
1077,"dissapearing","disappearing"
1078,"dissapoint","disappoint"
1079,"dissapointed","disappointed"
1080,"dissapointment","disappointment"
1081,"dissappear","disappear"
1082,"dissappears","disappears"
1083,"dissappointed","disappointed"
1084,"dissappointment","disappointment"
1085,"dissarray","disarray"
1086,"dissobediance","disobedience"
1087,"dissobediant","disobedient"
1088,"dissobedience","disobedience"
1089,"dissobedient","disobedient"
1090,"dissoluted","dissolved"
1091,"distict","distinct, district"
1092,"distiction","distinction"
1093,"distil","variant of distill"
1094,"distilation","distillation"
1095,"distingish","distinguish"
1096,"distingished","distinguished"
1097,"distingishes","distinguishes"
1098,"distirb","disturb"
1099,"distopia","dystopia"
1100,"distributer","distributor"
1101,"distroy","destroy"
1102,"distrub","disturb"
1103,"distrubed","disturbed"
1104,"distruction","destruction"
1105,"distructive","destructive"
1106,"diversed","diverse, diverged"
1107,"divesture","divestiture"
1108,"divice","device"
1109,"divised","devised, divided"
1110,"divison","division"
1111,"divisons","divisions"
1112,"do'nt	","	do not, don't	"
1113,"doccument","document"
1114,"doccumented","documented"
1115,"documentery","documentary"
1116,"documentry","documentary"
1117,"doed","did"
1118,"doens","does"
1119,"does'nt	","	does not, doesn't	"
1120,"doesnt	","	does not, doesn't	"
1121,"doign","doing"
1122,"dolour","British variant of dolor"
1123,"dominent","dominant"
1124,"dominiant","dominant"
1125,"donig","doing"
1126,"dont	","	do not, don't	"
1127,"donut","acceptable variant of doughnut"
1128,"doorjam","door jamb"
1129,"doppleganger","doppelg"
1130,"dosen't	","	does not, doesn't	"
1131,"doub","daub, doubt"
1132,"doughnut","acceptable variant of donut"
1133,"dozend","dozen"
1134,"draftman","draftsman"
1135,"dramatise","variant of dramatize"
1136,"dramtic","dramatic"
1137,"draught","variant of draft"
1138,"draughtman","draughtsman"
1139,"Dravadian","Dravidian"
1140,"drawed","drawn, drew"
1141,"dreamt","variant of dreamed"
1142,"dreasm","dreams"
1143,"driectly","directly"
1144,"drinked","drank"
1145,"drived","derived, driven, drove"
1146,"drnik","drink"
1147,"druing","during"
1148,"drumed","drummed"
1149,"drumer","drummer"
1150,"druming","drumming"
1151,"drumms","drums"
1152,"dryed","dried"
1153,"duaghter","daughter"
1154,"duely","duly"
1155,"dukeship","dukedom"
1156,"durring","during"
1157,"dwelled","variant of dwelt"
1158,"Dwight Yokam","Dwight Yoakam"
1159,"dyas","dryas"
1160,"dyke","variant of dike"
1161,"eached","each, reached"
1162,"eachother","each other"
1163,"ealier","earlier"
1164,"ealiest","earliest"
1165,"eariler","earlier"
1166,"earing","earing, earning, earring"
1167,"earler","earlier"
1168,"earnt","variant of earned"
1169,"easiliy","easily"
1170,"easly","early, easily"
1171,"eastermost","easternmost"
1172,"eated","ate, eaten"
1173,"eccessive","excessive"
1174,"ecclectic","eclectic"
1175,"ecclestiastical","ecclesiastical"
1176,"ecidious","deciduous"
1177,"eclectric","eclectic"
1178,"eclispe","eclipse"
1179,"ecomonic","economic"
1180,"ecomony","economy"
1181,"ect.","et cetera, etc."
1182,"editior","editor"
1183,"eduction","education, eduction"
1184,"eductional","educational"
1185,"eeked","eked"
1186,"eeking","eking"
1187,"eeks","ekes"
1188,"eery","eerie, every"
1189,"effeciency","efficiency"
1190,"effecient","efficient"
1191,"efficency","efficiency"
1192,"efficent","efficient"
1193,"effulence","effluence"
1194,"efford","effort, afford"
1195,"effords","efforts, affords"
1196,"eg","e.g., egg; results in many false positives"
1197,"eigth","eight, eighth"
1198,"elaborite","elaborate"
1199,"electic","eclectic, electric"
1200,"electon","election, electron"
1201,"electorial","electoral"
1202,"electrial","electrical"
1203,"electricly","electrically"
1204,"electricty","electricity"
1205,"elemantary","elementary"
1206,"eleminated","eliminated"
1207,"eleminating","eliminating"
1208,"eles","eels"
1209,"eletronic","electronic"
1210,"elicided","elicited"
1211,"eligability","eligibility"
1212,"eligable","eligible"
1213,"elimentary","elementary"
1214,"ellusive","elusive"
1215,"elphant","elephant"
1216,"embarass","embarrass"
1217,"embarassed","embarrassed"
1218,"embarassing","embarrassing"
1219,"embarassment","embarrassment"
1220,"embarras","embarrass"
1221,"embarrased","embarrassed"
1222,"embarrasing","embarrassing"
1223,"embarrasment","embarrassment"
1224,"embelish","embellish"
1225,"embelishment","embellishment"
1226,"embezelled","embezzled"
1227,"eminate","emanate"
1228,"emision","emisi"
1229,"emited","emitted"
1230,"emiter","emitter"
1231,"emiting","emitting"
1232,"emition","emission, emotion"
1233,"emitt","emit"
1234,"emmediately","immediately"
1235,"emmense","immense"
1236,"emmigrant","emigrant"
1237,"emmigrated","emigrated"
1238,"emminent","eminent, imminent"
1239,"emminently","eminently"
1240,"emmisaries","emissaries"
1241,"emmisarries","emissaries"
1242,"emmisarry","emissary"
1243,"emmisary","emissary"
1244,"emmision","emission"
1245,"emmission","emission"
1246,"emmited","emitted"
1247,"emmiting","emitting"
1248,"emmitted","emitted"
1249,"emmitting","emitting"
1250,"emnity","enmity"
1251,"empahsis","emphasis"
1252,"empahsize","emphasize"
1253,"empede","impede"
1254,"emperical","empirical"
1255,"emphasise","variant of emphasize"
1256,"emphysyma","emphysema"
1257,"empirial","empirical, imperial"
1258,"employes","employees, employs"
1259,"empound","impound"
1260,"empoundment","impoundment"
1261,"enamoured","acceptable variant of enamored"
1262,"enbankment","embankment"
1263,"enchancement","enhancement"
1264,"encorperate","incorporate"
1265,"encorporate","incorporate"
1266,"encouter","encounter"
1267,"encrease","increase"
1268,"encryptiion","encryption"
1269,"encyclopeadia","encyclopaedia, encyclopedia"
1270,"encypher","encypher, encipher"
1271,"endeaver","endeavor, endeavour"
1272,"endeavour","variant of endeavor"
1273,"endevor","endeavor, endeavour"
1274,"endevour","endeavor, endeavour"
1275,"endolithes","endoliths"
1276,"endurace","endurance"
1277,"ened","need"
1278,"enemey","enemy"
1279,"energise","variant of energize"
1280,"engeneer","engineer"
1281,"engeneering","engineering"
1282,"engieneer","engineer"
1283,"engieneers","engineers"
1284,"engineeer","engineer"
1285,"engineeering","engineering"
1286,"enginer","engineer"
1287,"enity","entity"
1288,"enlargment","enlargement"
1289,"Enlish","English, enlist"
1290,"enought","enough"
1291,"enourmous","enormous"
1292,"enourmously","enormously"
1293,"enrol","British alternative spelling of enroll"
1294,"enrole","enrol, enroll"
1295,"enrolement","enrollment, enrolment"
1296,"enroll","American alternative spelling of enrol"
1297,"enrollment","American alternative spelling of enrolment"
1298,"enrolment","British alternative spelling of enrollment"
1299,"enroute","en route"
1300,"enteprise","enterprise"
1301,"enterance","entrance"
1302,"enterpreneur","entrepreneur"
1303,"enterprize","enterprise, Enterprize [ship name]"
1304,"entertainement","entertainment"
1305,"entilted","entitled"
1306,"entited","entitled"
1307,"entites","entities, entitles"
1308,"entrace","entrance"
1309,"entrepeneur","entrepreneur"
1310,"entrepeneurial","entrepreneurial"
1311,"entrepeneurs","entrepreneurs"
1312,"entrie","entire, entry"
1313,"enivoriment","environment"
1314,"enviorment","environment"
1315,"enviormental","environmental"
1316,"enviormentally","environmentally"
1317,"enviorments","environments"
1318,"enviornment","environment"
1319,"enviornmental","environmental"
1320,"enviornmentalist","environmentalist"
1321,"enviornmentally","environmentally"
1322,"enviornments","environments"
1323,"enviroment","environment"
1324,"enviromental","environmental"
1325,"enviromentalist","environmentalist"
1326,"enviromentally","environmentally"
1327,"enviroments","environments"
1328,"envoke","invoke"
1329,"envolve","involve"
1330,"enxt","next"
1331,"epicentre","variant of epicenter"
1332,"epiode","episode"
1333,"epitomy","epitome"
1334,"eposide","episode"
1335,"epsiode","episode"
1336,"eptitude","aptitude"
1337,"equalise","variant of equalize"
1338,"equaly","equally"
1339,"equilavent","equivalent"
1340,"equilibium","equilibrium"
1341,"equilibrum","equilibrium"
1342,"equiped","equipped"
1343,"equippment","equipment"
1344,"equiptment","equipment"
1345,"equitorial","equatorial"
1346,"equivalant","equivalent"
1347,"equivelant","equivalent"
1348,"equivelent","equivalent"
1349,"equivilant","equivalent"
1350,"equivilent","equivalent"
1351,"erally","orally, really"
1352,"eratic","erratic"
1353,"eraticly","erratically"
1354,"erested","arrested, erected"
1355,"erradicate","eradicate"
1356,"errect","erect"
1357,"errode","erode"
1358,"errosion","erosion"
1359,"esctasy","ecstasy"
1360,"esence","essence"
1361,"esential","essential"
1362,"esle","else"
1363,"essencial","essential"
1364,"essense","essence"
1365,"essental","essential"
1366,"essentialy","essentially"
1367,"essentual","essential"
1368,"essesital","essential"
1369,"estabilish","establish"
1370,"estalbish","establish"
1371,"ethose","ethos, those"
1372,"ethymology","etymology"
1373,"euology","eulogy"
1374,"Euorpe","Europe"
1375,"Euorpean","European"
1376,"euphamism","euphemism"
1377,"Europian","European"
1378,"Europians","Europeans"
1379,"Eurpean","European"
1380,"Eurpoean","European"
1381,"euthanise","variant of euthanize"
1382,"evalution","evaluation, evolution"
1383,"eventualy","eventually"
1384,"eveyr","every"
1385,"evidentally","evidently"
1386,"exagerate","exaggerate"
1387,"exagerated","exaggerated"
1388,"exagerates","exaggerates"
1389,"exagerating","exaggerating"
1390,"exagerrate","exaggerate"
1391,"exagerrates","exaggerates"
1392,"exagerrating","exaggerating"
1393,"examinate","examine"
1394,"exampt","exempt"
1395,"exasparated","exasperated"
1396,"exaust","exhaust"
1397,"excape","escape"
1398,"excecute","execute"
1399,"excecution","execution"
1400,"excedded","exceeded"
1401,"excede","exceed"
1402,"excelent","excellent"
1403,"excell","excel"
1404,"excellance","excellence"
1405,"excellant","excellent"
1406,"excells","excels"
1407,"excempt","exempt"
1408,"excercise","exercise"
1409,"excrutiating","excruciating"
1410,"exelent","excellent"
1411,"exellent","excellent"
1412,"exemple","example"
1413,"exept","except"
1414,"exerbate","exacerbate"
1415,"exerbated","exacerbated"
1416,"exercice","exercise"
1417,"exerpt","excerpt"
1418,"exerternal","external"
1419,"exhalt","exalt"
1420,"exhaltation","exaltation"
1421,"exhibtion","exhibition"
1422,"exhilirate","exhilarate"
1423,"exhorbitant","exorbitant"
1424,"exhuast","exhaust"
1425,"exhuberance","exuberance"
1426,"exhuberant","exuberant"
1427,"exibit","exhibit"
1428,"exibition","exhibition"
1429,"exisiting","existing"
1430,"existance","existence"
1431,"existant","existant [French], existent [English]"
1432,"exmaple","example"
1433,"exoskelaton","exoskeleton"
1434,"expalin","explain"
1435,"expantion","expansion"
1436,"expecially","especially"
1437,"expeled","expelled"
1438,"expeling","expelling"
1439,"expell","expel"
1440,"expells","expels"
1441,"expence","expense"
1442,"experement","experiment"
1443,"experiance","experience"
1444,"experment","experiment"
1445,"expidite","expedite"
1446,"expirement","experiment"
1447,"explaination","explanation"
1448,"explane","explain"
1449,"explicitely","explicitly"
1450,"explination","explanation"
1451,"exploitate","exploit"
1452,"exploititive","exploitative"
1453,"exscape","escape"
1454,"exsist","exist"
1455,"exsistance","existence"
1456,"exsistence","existence"
1457,"exstensive","extensive"
1458,"extention","extension"
1459,"extered","exerted"
1460,"extincted","extinguished"
1461,"extint","extinct, extant"
1462,"extraterestrial","extraterrestrial"
1463,"extraterrestial","extraterrestrial"
1464,"extraterrestials","extraterrestrials"
1465,"extravagence","extravagance"
1466,"extravagent","extravagant"
1467,"extremeophile","extremophile"
1468,"extremley","extremely"
1469,"extremly","extremely"
1470,"extrordinarily","extraordinarily"
1471,"extrordinary","extraordinary"
1472,"eyar","year, eyas"
1473,"eyars","years, eyas"
1474,"eyasr","years, eyas"
1475,"faciliate","facilitate"
1476,"facilites","facilities"
1477,"facillity","facility"
1478,"facimile","facsimile"
1479,"facinate","fascinate"
1480,"facination","fascination"
1481,"faculity","facility, faculty"
1482,"fairwell","farewell"
1483,"faithfull","faithful"
1484,"falled","fallen, fell"
1485,"falsley","falsely"
1486,"falsly","falsely"
1487,"famaly","family"
1488,"familar","familiar"
1489,"familes","families"
1490,"familiy","family"
1491,"familys	","	families [plural], family's [possessive]	"
1492,"famouse","famous"
1493,"fanatism","fanaticism"
1494,"Farenheit","Fahrenheit"
1495,"fascitious","facetious"
1496,"fashism","fascism"
1497,"fasinate","fascinate"
1498,"fasion","fashion"
1499,"fatalies","fatalities"
1500,"fataly","fatally"
1501,"fately","fatally"
1502,"faught","Faught [surname], fought"
1503,"faulter","falter"
1504,"favour","variant of favor"
1505,"favourite","variant of favorite"
1506,"feasability","feasibility"
1507,"feasable","feasible"
1508,"feauture","feature"
1509,"Febrary","February"
1510,"Febuary","February"
1511,"Feburary","February"
1512,"federaly","federally"
1513,"feeded","fed"
1514,"feeled","felt"
1515,"feets	","	feet [plural], foot's	"
1516,"feild","Feild [surname], field"
1517,"feirce","fierce"
1518,"feromone","pheromone"
1519,"fervour","variant of fervor"
1520,"ffrom","from"
1521,"fianl","final"
1522,"fianlly","finally"
1523,"fibre","variant of fiber"
1524,"ficitional","fictional"
1525,"ficticious","fictitious"
1526,"fictious","fictitious"
1527,"fictonal","fictional"
1528,"fictous","fictitious"
1529,"fidn","find"
1530,"fiel","feel, field, file, phial"
1531,"fiels","feels, fields, files, phials"
1532,"fiercly","fiercely"
1533,"fighted","fought"
1534,"filiament","filament"
1535,"fillament","filament"
1536,"filmaker","filmmaker"
1537,"filmaking","filmmaking"
1538,"finaly","finally"
1539,"financialy","financially"
1540,"findout","find out"
1541,"finnally","finally"
1542,"finnaly","finally"
1543,"finnished","finished"
1544,"firend","friend"
1545,"firey","fiery"
1546,"firt","first"
1547,"firts","flirts, first"
1548,"fishs","fishes"
1549,"fith","fifth"
1550,"flacid","flaccid"
1551,"flaged","flagged"
1552,"flavour","variant of flavor"
1553,"fleed","fled, flee, freed"
1554,"Flemmish","Flemish"
1555,"flewn","flown"
1556,"flexability","flexibility"
1557,"flexable","flexible"
1558,"floatation","flotation"
1559,"florescence","florescence, fluorescence"
1560,"florescent","florescent [flower], fluorescent"
1561,"floride","Floride [name], fluoride"
1562,"flourescence","fluorescence"
1563,"flourescent","fluorescent"
1564,"flouride","fluoride"
1565,"flourine","fluorine"
1566,"fluorish","flourish"
1567,"flury","flurry"
1568,"fo","for, of; many false positives"
1569,"focuse","focus"
1570,"focussed","variant of focused"
1571,"foilage","foliage"
1572,"followup","follow up [verb], follow-up [adjective], followup [no"
1573,"folow","follow"
1574,"folowed","followed"
1575,"folower","follower"
1576,"folowing","following"
1577,"fomr","from, form"
1578,"fonetic","phonetic"
1579,"foots	","	feet [plural], foot's	"
1580,"footware","footwear"
1581,"for-runner","forerunner"
1582,"forbad","acceptable variant of forbade"
1583,"forbidded","forbade, forbidden"
1584,"forbode","forebode"
1585,"forcast","forecast"
1586,"forcasted","forecast, forecasted [non-standard past tense or past"
1587,"forcasting","forecasting"
1588,"forclose","foreclose"
1589,"forclosure","foreclosure"
1590,"forebad","forbad"
1591,"forebade","forbade"
1592,"forebid","forbid"
1593,"forebidden","forbidden"
1594,"forecasted","forecast, forecasted [non-standard past tense or past"
1595,"foreceps","forceps"
1596,"forefeit","forfeit"
1597,"forefiet","forfeit"
1598,"forefieture","forfeiture"
1599,"foreget","forget"
1600,"foregive","forgive"
1601,"forego","forego [go before], forgo [go without]"
1602,"forelese","forlese"
1603,"forelorn","forlorn"
1604,"foresake","forsake"
1605,"foresaken","forsaken"
1606,"foresook","forsook"
1607,"foreswear","forswear"
1608,"foreward","foreword, forward"
1609,"forewent","forewent [went before], forwent [went without]"
1610,"forfiet","forfeit"
1611,"forfieture","forfeiture"
1612,"forgoe","forgo"
1613,"forgoing","foregoing [going before], forgoing [going without]"
1614,"forhead","forehead"
1615,"foriegn","foreign"
1616,"foriegner","foreigner"
1617,"Formalhaut","Fomalhaut"
1618,"formalise","variant of formalize"
1619,"formall","formal"
1620,"formallize","formalize"
1621,"formallized","formalized"
1622,"formaly","formally"
1623,"formated","formatted, formed, format"
1624,"formost","foremost"
1625,"forrest","forest"
1626,"forrunner","forerunner"
1627,"forsaw","foresaw"
1628,"forsee","foresee [see before], Forsee [surname]"
1629,"forseeable","foreseeable"
1630,"forseen","foreseen"
1631,"forshadow","foreshadow"
1632,"forsight","foresight"
1633,"forstall","forestall"
1634,"fortell","foretell"
1635,"forthe","for the"
1636,"fortunatly","fortunately"
1637,"forumla","formula"
1638,"forumlate","formulate"
1639,"forunner","forerunner"
1640,"forwarn","forewarn"
1641,"forword","foreword, forward"
1642,"foudn","found"
1643,"fougth","fought"
1644,"foundaries","foundries"
1645,"foundary","foundry"
1646,"Foundland","Newfoundland"
1647,"fourty","forty"
1648,"foward","forward"
1649,"Fransiscan","Franciscan"
1650,"Fransiscans","Franciscans"
1651,"freezed","froze, frozen"
1652,"freind","friend"
1653,"freshmans	","	freshman's, freshmen [plural]	"
1654,"friens","friends"
1655,"frist","first"
1656,"fromat","format"
1657,"fromer","former, Fromer [surname]"
1658,"fromerly","formerly"
1659,"fronteir","frontier"
1660,"fued","feud"
1661,"fuedal","feudal"
1662,"fuelled","variant of fueled"
1663,"fufill","fulfill"
1664,"fulfil","variant of fulfill"
1665,"fullfil","fulfill"
1666,"fullfill","fulfill"
1667,"fundametal","fundamental"
1668,"fundametals","fundamentals"
1669,"fundemental","fundamental"
1670,"funguses","fungi [plural]"
1671,"funtion","function"
1672,"furhter","further"
1673,"furtile","fertile"
1674,"furuther","further"
1675,"futher","further"
1676,"futhermore","furthermore"
1677,"futhroc","futhark, futhorc"
1678,"fysical","physical"
1679,"gae","game, Gael, gale"
1680,"galatic","galactic"
1681,"Galations","Galatians"
1682,"Gameboy","Game Boy"
1683,"GameBoy","Game Boy"
1684,"ganster","gangster"
1685,"garantee","guarantee"
1686,"garanteed","guaranteed"
1687,"garantees","guarantees"
1688,"garisson","garrison"
1689,"garrision","garrison"
1690,"garrisson","garrison"
1691,"gasses","acceptable variant of gases [plural of gas]"
1692,"gauarana","guaran"
1693,"gaurantee","guarantee"
1694,"gauranteed","guaranteed"
1695,"gaurantees","guarantees"
1696,"gaurd","gourd, guard"
1697,"gaurdian","guardian"
1698,"gaurentee","guarantee"
1699,"gaurenteed","guaranteed"
1700,"gaurentees","guarantees"
1701,"genaral","general"
1702,"genearl","general"
1703,"geneologies","genealogies"
1704,"geneology","genealogy"
1705,"generaly","generally"
1706,"generater","generator"
1707,"generical","generic"
1708,"genialia","genitalia"
1709,"genisis","genesis"
1710,"genra","genera"
1711,"genreal","general"
1712,"gentlemens	","	gentlemen's	"
1713,"genuis","genius"
1714,"geometrician","acceptable synonym for geometer"
1715,"gerat","Ger"
1716,"German Shepard","German Shepherd"
1717,"get's	","	gets	"
1718,"Ghandi","Gandhi"
1719,"Gibralter","Gibraltar"
1720,"girate","gyrate"
1721,"girated","gyrated"
1722,"girates","gyrates"
1723,"girating","gyrating"
1724,"giration","gyration"
1725,"girlfreind","girlfriend"
1726,"girls's	","	girls'	"
1727,"giude","guide"
1728,"giult","guilt"
1729,"give's	","	gives	"
1730,"gived","gave, given, gives"
1731,"giveing","giving"
1732,"glamour","variant of glamor"
1733,"godess","goddess"
1734,"godesses","goddesses"
1735,"Godounov","Godunov"
1736,"Goerge","George"
1737,"gogin","going, Gauguin"
1738,"goign","going"
1739,"gonig","going"
1740,"good riddens","good riddance"
1741,"goodby","Goodby [surname], goodbye"
1742,"Gothenberg","Gothenburg"
1743,"Gottleib","Gottlieb"
1744,"gouvener","governor"
1745,"govenor","governor"
1746,"goverment","government"
1747,"govermental","governmental"
1748,"governement","government"
1749,"governer","governor"
1750,"Government Minster","Government Minister"
1751,"governmentaly","governmentally"
1752,"govorment","government"
1753,"govormental","governmental"
1754,"grabed","grabbed"
1755,"grabing","grabbing"
1756,"gradualy","gradually"
1757,"graet","great"
1758,"graffitti","graffiti"
1759,"grafitti","graffiti"
1760,"gramatical","grammatic, grammatical"
1761,"gramatically","grammatically"
1762,"gramattical","grammatical"
1763,"grammaticaly","grammatically"
1764,"grammer","grammar"
1765,"granchild","grandchild"
1766,"granchildren","grandchildren"
1767,"grandaughter","granddaughter"
1768,"grandure","grandeur"
1769,"granfather","grandfather"
1770,"granmother","grandmother"
1771,"granparent","grandparent"
1772,"granson","grandson"
1773,"grat","great, grat [Scottish past tense for greet]"
1774,"gratefull","grateful"
1775,"gratuitious","gratuitous"
1776,"greately","greatly"
1777,"greatful","grateful"
1778,"greatfully","gratefully"
1779,"Greecian","Grecian"
1780,"greif","Greif [surname], grief"
1781,"greviance","grievance"
1782,"grevious","grievous"
1783,"grey","variant of gray"
1784,"gropu","group"
1785,"growed","grew, grown"
1786,"grwo","grow"
1787,"Guaduloupe","Guadalupe, Guadeloupe"
1788,"Guadulupe, Guaduloupe","Guadalupe, Guadeloupe"
1789,"guage","gauge"
1790,"guarentee","guarantee"
1791,"guarenteed","guaranteed"
1792,"guarentees","guarantees"
1793,"Guatamala","Guatemala"
1794,"Guatamalan","Guatemalan"
1795,"guerrila","guerilla, guerrilla"
1796,"guerrilas","guerillas, guerrillas"
1797,"guidence","guidance"
1798,"guilded","gilded"
1799,"Guilia","Giulia"
1800,"Guiliani","Giuliani"
1801,"Guilio","Giulio"
1802,"Guiness","Guinness"
1803,"Guiseppe","Giuseppe"
1804,"guitarrist","guitarist"
1805,"gunanine","guanine"
1806,"gurad","guard"
1807,"guradian","guardian"
1808,"gurantee","guarantee"
1809,"guranteed","guaranteed"
1810,"gurantees","guarantees"
1811,"guttaral","guttural"
1812,"gutteral","guttural"
1813,"habaeus","habeas"
1814,"habbit","habit"
1815,"habeus corpus","habeas corpus"
1816,"habitant","uncommon Canadian variant of inhabitant"
1817,"habitants","uncommon Canadian variant of inhabitants"
1818,"Habsbourg","Habsburg"
1819,"hace","hare"
1820,"had'nt	","	had not, hadn't	"
1821,"hadnt	","	had not, hadn't	"
1822,"haev","have, heave"
1823,"halfs	","	half's, halves [plural]	"
1824,"Hallowean	","	Hallowe'en, Halloween	"
1825,"handeled","handled"
1826,"handfull","handful"
1827,"hankerchief","handkerchief"
1828,"hapen","happen"
1829,"hapened","happened"
1830,"hapening","happening"
1831,"happend","happened"
1832,"happended","happened"
1833,"haras","harass"
1834,"harased","harassed"
1835,"harases","harasses"
1836,"harasment","harassment"
1837,"harbour","variant of harbor"
1838,"hardend","hardened"
1839,"hardwear","hardware"
1840,"harras","harass"
1841,"harrased","harassed"
1842,"harrases","harasses"
1843,"harrasing","harassing"
1844,"harrasment","harassment"
1845,"harrass","harass"
1846,"harrassed","harassed"
1847,"harrasses","harassed"
1848,"harrassing","harassing"
1849,"harrassment","harassment"
1850,"has'nt	","	has not, hasn't	"
1851,"hasnt	","	has not, hasn't	"
1852,"hastly","hastily"
1853,"haved","have"
1854,"haveing","having"
1855,"hayday","heyday"
1856,"hazerdous","hazardous"
1857,"headquartes","headquarters"
1858,"headquater","headquarter"
1859,"headquatered","headquartered"
1860,"headquaters","headquarters"
1861,"heared","heard"
1862,"heaviliy","heavily"
1863,"Heidelburg","Heidelberg"
1864,"heigher","higher"
1865,"heighth","height"
1866,"heigth","height"
1867,"heirarchial","hierarchical"
1868,"heirarchical","hierarchical"
1869,"heirarchy","hierarchy"
1870,"heiroglyphics","hieroglyphics"
1871,"helded","held"
1872,"helpfull","helpful"
1873,"hemmorhage","hemorrhage"
1874,"henious","heinous"
1875,"heptathalon","heptathlon"
1876,"her's	","	her, hers	"
1877,"herad","heard, Hera, herald"
1878,"heresay","hearsay"
1879,"heros","heroes [plural], Heros [proper name] may be correct"
1880,"hersuit","hirsute"
1881,"hersute","hirsute"
1882,"hertiage","heritage"
1883,"hes	","	he's, his	"
1884,"heterogenous","acceptable variant of heterogeneous"
1885,"hidding","hiding"
1886,"hieght","height"
1887,"hierachical","hierarchical"
1888,"hierachies","hierarchies"
1889,"hierachy","hierarchy"
1890,"hierarchial","hierarchical"
1891,"hierarcical","hierarchical"
1892,"hierarcy","hierarchy"
1893,"hieroglph","hieroglyph"
1894,"hieroglphs","hieroglyphs"
1895,"higer","higher"
1896,"higest","highest"
1897,"highter","higher"
1898,"hights","heights"
1899,"hillarious","hilarious"
1900,"hinderence","hindrance"
1901,"hindrence","hindrance"
1902,"hipopotamus","hippopotamus"
1903,"hirsuit","hirsute"
1904,"hismelf","himself"
1905,"hisself","himself"
1906,"histocompatability","histocompatibility"
1907,"histroy","history"
1908,"hitchs","hitches"
1909,"hiting","hitting"
1910,"hitted","hit, hitter"
1911,"hoasted","hosted"
1912,"hobbiest","hobbyist"
1913,"hobbist","hobbyist"
1914,"hold's	","	holds	"
1915,"holded","held"
1916,"hollistic","holistic"
1917,"homocide","homicide"
1918,"homogeneize","homogenize"
1919,"homogeneized","homogenized"
1920,"hompage","home page, homepage"
1921,"honarable","honorable, honourable"
1922,"honor","variant of honour"
1923,"honorable","variant of honourable"
1924,"honory","honorary"
1925,"honour","variant of honor"
1926,"honourable","variant of honorable"
1927,"honourarium","honorarium, even in UK"
1928,"honourary","honorary, even in UK"
1929,"honourific","honorific, even in UK"
1930,"hopefull","hopeful"
1931,"hopefuly","hopefully"
1932,"hopeing","hoping"
1933,"hopfully","hopefully"
1934,"horrifing","horrifying"
1935,"housewifes","housewives"
1936,"houshold","household"
1937,"houskeeper","housekeeper"
1938,"housr","hours, house"
1939,"houswife","housewife"
1940,"howver","however"
1941,"htat","that"
1942,"hte","the"
1943,"hten","then, hen, the"
1944,"htere","there, here"
1945,"htey","they"
1946,"htikn","think"
1947,"hting","thing"
1948,"htink","think"
1949,"htis","this"
1950,"humer","humor, humour"
1951,"humerous","humorous, humerus"
1952,"humour","variant of humor"
1953,"humoural","humoral"
1954,"humourist","variant of humorist"
1955,"humourous","humorous, even in UK"
1956,"hundered","hundred"
1957,"hurricaine","hurricane"
1958,"husban","husband"
1959,"hvae","have"
1960,"hvaing","having"
1961,"hvea","have, heave"
1962,"hwihc","which"
1963,"hwile","while"
1964,"hwole","whole"
1965,"hydralic","hydraulic"
1966,"hydropile","hydrophile"
1967,"hydropilic","hydrophilic"
1968,"hydropobe","hydrophobe"
1969,"hydropobic","hydrophobic"
1970,"hygeine","hygiene"
1971,"hygene","hygiene"
1972,"hygenic","hygienic"
1973,"hygine","hygiene"
1974,"hypnotise","variant of hypnotize"
1975,"hypocracy","hypocrisy"
1976,"hypocrasy","hypocrisy"
1977,"hypocricy","hypocrisy"
1978,"hypocrit","hypocrite"
1979,"hypocrits","hypocrites"
1980,"hyptonize","hypnotize"
1981,"i'ts	","	it's, its	"
1982,"iceing","icing"
1983,"iconclastic","iconoclastic"
1984,"idae","idea"
1985,"idaes","ideas"
1986,"idealise","idealize"
1987,"idealogies","ideologies"
1988,"idealogy","ideology"
1989,"idealy","ideally"
1990,"idenify","identify"
1991,"idenity","identity"
1992,"identicaly","identically"
1993,"identicial","identical"
1994,"identifed","identified"
1995,"identifing","identifying"
1996,"ideosyncratic","idiosyncratic"
1997,"idesa","ideas, ides"
1998,"Ihaca","Ithaca"
1999,"iin","in"
2000,"ilegally","illegally"
2001,"illegaly","illegally"
2002,"illegimacy","illegitimacy"
2003,"illegimate","illegitimate"
2004,"illegitmate","illegitimate"
2005,"illution","illusion"
2006,"ilogical","illogical"
2007,"ilumination","illumination"
2008,"imagenary","imaginary"
2009,"imagin","imagine"
2010,"imaginery","imaginary, imagery"
2011,"imanent","eminent, immanent, imminent"
2012,"imediate","immediate"
2013,"imense","immense"
2014,"imigrant","emigrant, immigrant"
2015,"imigrate","emigrate, immigrate"
2016,"imigration","emigration, immigration"
2017,"iminent","emanant, eminent, immanent, imminent"
2018,"immagination","imagination"
2019,"immediatelly","immediately"
2020,"immediatley","immediately"
2021,"immediatly","immediately"
2022,"immensley","immensely"
2023,"immensly","immensely"
2024,"immidately","immediately"
2025,"immidiately","immediately"
2026,"immitate","imitate"
2027,"immitation","imitation"
2028,"immitator","imitator"
2029,"immunosupressant","immunosuppressant"
